,week,State,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
250,2020-01-29 2020-02-05,Virginia,0,58,0,13,0,20,32,0,0,0
251,2020-01-29 2020-02-05,Washington,72,0,0,16,0,0,0,0,0,0
252,2020-01-29 2020-02-05,West Virginia,0,0,0,0,0,0,0,0,0,0
253,2020-01-29 2020-02-05,Wisconsin,0,100,0,15,0,35,0,0,0,0
254,2020-01-29 2020-02-05,Wyoming,0,0,0,0,0,0,0,0,0,0
255,2020-02-05 2020-02-12,Alabama,0,0,0,0,0,0,0,0,0,0
256,2020-02-05 2020-02-12,Alaska,0,0,0,0,0,0,0,0,0,0
257,2020-02-05 2020-02-12,Arizona,0,0,0,0,0,0,0,0,0,0
258,2020-02-05 2020-02-12,Arkansas,0,0,0,0,0,0,0,0,0,0
259,2020-02-05 2020-02-12,California,7,0,0,9,0,6,13,24,27,100
260,2020-02-05 2020-02-12,Colorado,0,0,0,18,0,29,0,0,0,0
261,2020-02-05 2020-02-12,Connecticut,0,0,0,0,0,0,0,0,0,0
262,2020-02-05 2020-02-12,Delaware,0,0,0,0,0,100,0,0,0,0
263,2020-02-05 2020-02-12,District of Columbia,0,0,0,0,0,0,0,0,0,0
264,2020-02-05 2020-02-12,Florida,0,56,0,5,0,4,24,0,0,0
265,2020-02-05 2020-02-12,Georgia,28,0,0,10,0,0,0,0,0,0
266,2020-02-05 2020-02-12,Hawaii,0,0,0,0,0,0,0,0,0,0
267,2020-02-05 2020-02-12,Idaho,0,0,0,0,0,0,0,0,0,0
268,2020-02-05 2020-02-12,Illinois,22,0,0,6,0,0,0,0,0,0
269,2020-02-05 2020-02-12,Indiana,52,0,0,0,0,0,0,0,0,0
270,2020-02-05 2020-02-12,Iowa,0,0,0,0,0,0,0,0,0,0
271,2020-02-05 2020-02-12,Kansas,0,0,0,23,0,0,0,0,0,0
272,2020-02-05 2020-02-12,Kentucky,0,0,0,0,0,0,0,0,0,0
273,2020-02-05 2020-02-12,Louisiana,0,0,0,15,0,0,0,0,0,0
274,2020-02-05 2020-02-12,Maine,0,0,0,0,0,0,0,0,0,0
275,2020-02-05 2020-02-12,Maryland,46,0,0,13,0,0,0,0,0,0
276,2020-02-05 2020-02-12,Massachusetts,0,82,0,7,0,0,0,0,0,0
277,2020-02-05 2020-02-12,Michigan,0,70,0,0,0,0,0,0,0,0
278,2020-02-05 2020-02-12,Minnesota,0,0,0,15,0,0,100,0,0,0
279,2020-02-05 2020-02-12,Mississippi,0,0,0,0,0,0,0,0,0,0
