,week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
96,2020-01-08 2020-01-15,Vermont,0,0,0,0,0,0,0,0
97,2020-01-08 2020-01-15,Virginia,10,0,0,0,0,0,0,0
98,2020-01-08 2020-01-15,Washington,24,0,0,0,0,0,0,0
99,2020-01-08 2020-01-15,West Virginia,100,0,0,0,0,0,0,0
100,2020-01-08 2020-01-15,Wisconsin,23,0,0,0,0,0,0,0
101,2020-01-08 2020-01-15,Wyoming,0,0,0,0,0,0,0,0
102,2020-01-15 2020-01-22,Alabama,0,0,0,0,0,0,0,0
103,2020-01-15 2020-01-22,Alaska,0,0,0,0,0,0,0,0
104,2020-01-15 2020-01-22,Arizona,29,0,0,0,0,0,0,0
105,2020-01-15 2020-01-22,Arkansas,0,0,0,0,0,0,0,0
106,2020-01-15 2020-01-22,California,19,0,0,0,0,9,0,0
107,2020-01-15 2020-01-22,Colorado,41,0,0,0,0,0,0,0
108,2020-01-15 2020-01-22,Connecticut,52,0,0,0,0,0,0,0
109,2020-01-15 2020-01-22,Delaware,0,0,0,0,0,0,0,0
110,2020-01-15 2020-01-22,District of Columbia,0,0,0,0,0,0,0,0
111,2020-01-15 2020-01-22,Florida,18,0,0,0,0,0,0,0
112,2020-01-15 2020-01-22,Georgia,22,0,0,0,0,0,0,0
113,2020-01-15 2020-01-22,Hawaii,0,0,0,0,0,0,0,0
114,2020-01-15 2020-01-22,Idaho,0,0,0,0,0,0,0,0
115,2020-01-15 2020-01-22,Illinois,23,0,0,0,0,29,0,0
116,2020-01-15 2020-01-22,Indiana,33,0,0,0,0,0,0,0
117,2020-01-15 2020-01-22,Iowa,36,0,0,0,0,0,0,0
118,2020-01-15 2020-01-22,Kansas,0,0,0,0,0,0,0,0
119,2020-01-15 2020-01-22,Kentucky,26,0,0,0,0,100,0,0
120,2020-01-15 2020-01-22,Louisiana,27,0,0,0,0,0,0,0
121,2020-01-15 2020-01-22,Maine,0,0,0,0,0,0,0,0
122,2020-01-15 2020-01-22,Maryland,15,0,0,0,0,0,0,0
123,2020-01-15 2020-01-22,Massachusetts,13,0,0,0,0,0,0,0
124,2020-01-15 2020-01-22,Michigan,22,0,0,0,0,0,0,0
125,2020-01-15 2020-01-22,Minnesota,24,0,0,0,0,0,0,0
126,2020-01-15 2020-01-22,Mississippi,0,0,0,0,0,0,0,0
127,2020-01-15 2020-01-22,Missouri,17,0,0,0,0,0,0,0
128,2020-01-15 2020-01-22,Montana,0,0,0,0,0,0,0,0
129,2020-01-15 2020-01-22,Nebraska,0,0,0,0,0,0,0,0
130,2020-01-15 2020-01-22,Nevada,100,0,0,0,0,0,0,0
131,2020-01-15 2020-01-22,New Hampshire,79,0,0,0,0,0,0,0
132,2020-01-15 2020-01-22,New Jersey,15,100,0,0,0,39,0,0
133,2020-01-15 2020-01-22,New Mexico,0,0,0,0,0,0,0,0
134,2020-01-15 2020-01-22,New York,20,0,0,0,0,15,0,0
135,2020-01-15 2020-01-22,North Carolina,37,0,0,0,0,0,0,0
136,2020-01-15 2020-01-22,North Dakota,0,0,0,0,0,0,0,0
137,2020-01-15 2020-01-22,Ohio,24,0,0,0,0,0,0,0
138,2020-01-15 2020-01-22,Oklahoma,0,0,0,0,0,0,0,0
139,2020-01-15 2020-01-22,Oregon,0,0,0,0,0,0,0,0
140,2020-01-15 2020-01-22,Pennsylvania,15,0,0,0,0,0,0,0
141,2020-01-15 2020-01-22,Rhode Island,89,0,0,0,0,0,0,0
142,2020-01-15 2020-01-22,South Carolina,22,0,0,0,0,0,0,0
143,2020-01-15 2020-01-22,South Dakota,0,0,0,0,0,0,0,0
144,2020-01-15 2020-01-22,Tennessee,14,0,0,0,0,0,0,0
145,2020-01-15 2020-01-22,Texas,18,0,0,0,0,0,0,100
146,2020-01-15 2020-01-22,Utah,65,0,0,0,0,0,0,0
147,2020-01-15 2020-01-22,Vermont,0,0,0,0,0,0,0,0
148,2020-01-15 2020-01-22,Virginia,32,0,0,0,0,0,0,0
149,2020-01-15 2020-01-22,Washington,38,0,0,0,0,0,0,0
150,2020-01-15 2020-01-22,West Virginia,76,0,0,0,0,0,0,0
151,2020-01-15 2020-01-22,Wisconsin,18,0,0,0,0,0,0,0
152,2020-01-15 2020-01-22,Wyoming,0,0,0,0,0,0,0,0
153,2020-01-22 2020-01-29,Alabama,20,0,0,0,0,0,0,0
154,2020-01-22 2020-01-29,Alaska,0,0,0,0,0,0,0,0
155,2020-01-22 2020-01-29,Arizona,16,0,0,0,0,0,0,0
156,2020-01-22 2020-01-29,Arkansas,0,0,0,0,0,0,0,0
157,2020-01-22 2020-01-29,California,6,5,0,0,0,0,0,0
158,2020-01-22 2020-01-29,Colorado,33,0,0,0,0,0,0,0
159,2020-01-22 2020-01-29,Connecticut,0,0,0,0,0,0,0,0
160,2020-01-22 2020-01-29,Delaware,66,0,0,0,0,0,0,0
161,2020-01-22 2020-01-29,District of Columbia,45,0,0,0,0,0,0,0
162,2020-01-22 2020-01-29,Florida,9,0,27,0,0,0,0,0
163,2020-01-22 2020-01-29,Georgia,7,0,0,0,0,0,0,0
164,2020-01-22 2020-01-29,Hawaii,0,0,0,0,0,0,0,0
165,2020-01-22 2020-01-29,Idaho,40,0,0,0,0,0,0,0
166,2020-01-22 2020-01-29,Illinois,6,15,43,0,0,0,0,0
167,2020-01-22 2020-01-29,Indiana,0,0,0,0,0,0,0,0
168,2020-01-22 2020-01-29,Iowa,0,0,0,0,0,0,0,0
169,2020-01-22 2020-01-29,Kansas,22,0,0,0,0,0,0,0
170,2020-01-22 2020-01-29,Kentucky,14,0,0,0,0,0,0,0
171,2020-01-22 2020-01-29,Louisiana,0,0,0,0,0,0,0,0
172,2020-01-22 2020-01-29,Maine,0,0,0,0,0,0,0,0
173,2020-01-22 2020-01-29,Maryland,22,0,0,0,0,0,0,0
174,2020-01-22 2020-01-29,Massachusetts,0,0,0,0,0,0,0,0
175,2020-01-22 2020-01-29,Michigan,0,22,0,0,0,0,0,0
176,2020-01-22 2020-01-29,Minnesota,0,0,0,0,0,0,0,0
177,2020-01-22 2020-01-29,Mississippi,0,100,0,0,0,0,0,0
178,2020-01-22 2020-01-29,Missouri,9,34,100,0,0,0,0,0
179,2020-01-22 2020-01-29,Montana,0,0,0,0,0,0,0,0
180,2020-01-22 2020-01-29,Nebraska,0,0,0,0,0,0,0,0
181,2020-01-22 2020-01-29,Nevada,37,0,0,0,0,0,0,0
182,2020-01-22 2020-01-29,New Hampshire,0,0,0,0,0,0,0,0
183,2020-01-22 2020-01-29,New Jersey,6,0,0,0,0,0,0,0
