,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
146,Utah,2020-01-15 2020-01-22,0,0,0,0,0
147,Vermont,2020-01-15 2020-01-22,0,0,0,0,0
148,Virginia,2020-01-15 2020-01-22,0,0,0,0,0
149,Washington,2020-01-15 2020-01-22,0,0,0,0,0
150,West Virginia,2020-01-15 2020-01-22,0,0,0,0,0
151,Wisconsin,2020-01-15 2020-01-22,0,0,0,0,0
152,Wyoming,2020-01-15 2020-01-22,0,0,0,0,0
153,Alabama,2020-01-22 2020-01-29,0,0,0,0,0
154,Alaska,2020-01-22 2020-01-29,0,0,0,0,0
155,Arizona,2020-01-22 2020-01-29,0,0,0,37,0
156,Arkansas,2020-01-22 2020-01-29,0,0,0,0,0
157,California,2020-01-22 2020-01-29,9,13,0,12,0
158,Colorado,2020-01-22 2020-01-29,0,0,0,21,0
159,Connecticut,2020-01-22 2020-01-29,0,0,0,65,0
160,Delaware,2020-01-22 2020-01-29,0,0,0,0,0
161,District of Columbia,2020-01-22 2020-01-29,0,0,0,100,0
162,Florida,2020-01-22 2020-01-29,17,24,0,6,0
163,Georgia,2020-01-22 2020-01-29,0,0,0,21,0
164,Hawaii,2020-01-22 2020-01-29,0,0,0,0,0
165,Idaho,2020-01-22 2020-01-29,0,0,0,0,0
166,Illinois,2020-01-22 2020-01-29,53,39,0,22,0
167,Indiana,2020-01-22 2020-01-29,0,0,0,21,0
168,Iowa,2020-01-22 2020-01-29,0,0,0,0,0
169,Kansas,2020-01-22 2020-01-29,0,0,0,0,0
170,Kentucky,2020-01-22 2020-01-29,0,0,0,32,0
171,Louisiana,2020-01-22 2020-01-29,100,0,0,33,0
172,Maine,2020-01-22 2020-01-29,0,0,0,0,0
173,Maryland,2020-01-22 2020-01-29,0,0,0,39,0
174,Massachusetts,2020-01-22 2020-01-29,0,0,0,16,0
175,Michigan,2020-01-22 2020-01-29,0,0,0,20,0
176,Minnesota,2020-01-22 2020-01-29,0,0,0,23,0
177,Mississippi,2020-01-22 2020-01-29,0,0,0,0,0
178,Missouri,2020-01-22 2020-01-29,0,0,0,0,0
179,Montana,2020-01-22 2020-01-29,0,0,0,0,0
180,Nebraska,2020-01-22 2020-01-29,0,0,0,65,0
