week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
2020-01-22 2020-01-29,Connecticut,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Delaware,100,0,0,0,0,0,0,0
2020-01-22 2020-01-29,District of Columbia,68,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Florida,5,17,0,0,0,0,0,0
2020-01-22 2020-01-29,Georgia,5,32,0,0,0,0,0,0
2020-01-22 2020-01-29,Hawaii,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Idaho,0,0,0,0,0,0,0,100
2020-01-22 2020-01-29,Illinois,8,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Indiana,0,63,0,0,0,0,0,0
2020-01-22 2020-01-29,Iowa,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Kansas,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Kentucky,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Louisiana,0,100,0,0,0,0,0,0
2020-01-22 2020-01-29,Maine,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Maryland,17,59,0,0,0,0,0,0
2020-01-22 2020-01-29,Massachusetts,5,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Michigan,4,40,0,0,0,0,0,0
2020-01-22 2020-01-29,Minnesota,8,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Mississippi,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Missouri,7,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Montana,53,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Nebraska,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Nevada,29,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New Hampshire,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New Jersey,4,39,100,0,0,0,0,0
2020-01-22 2020-01-29,New Mexico,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New York,4,16,42,0,0,100,0,0
2020-01-22 2020-01-29,North Carolina,16,0,0,0,0,0,0,0
2020-01-22 2020-01-29,North Dakota,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Ohio,11,62,0,0,0,0,0,0
2020-01-22 2020-01-29,Oklahoma,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Oregon,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Pennsylvania,3,29,0,0,0,0,0,0
2020-01-22 2020-01-29,Rhode Island,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,South Carolina,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,South Dakota,64,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Tennessee,20,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Texas,4,13,0,0,0,0,0,0
2020-01-22 2020-01-29,Utah,14,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Vermont,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Virginia,7,79,0,0,0,0,0,0
2020-01-22 2020-01-29,Washington,8,49,0,0,0,0,0,0
2020-01-22 2020-01-29,West Virginia,33,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Wisconsin,8,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Wyoming,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Alabama,8,0,77,0,0,0,0,0
2020-01-29 2020-02-05,Alaska,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Arizona,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Arkansas,19,0,0,0,0,0,0,0
2020-01-29 2020-02-05,California,11,7,10,0,0,35,0,0
2020-01-29 2020-02-05,Colorado,7,20,0,0,0,0,0,0
2020-01-29 2020-02-05,Connecticut,11,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Delaware,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,District of Columbia,35,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Florida,8,5,0,0,0,0,0,0
2020-01-29 2020-02-05,Georgia,6,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Hawaii,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Idaho,62,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Illinois,5,0,0,0,0,100,0,0
2020-01-29 2020-02-05,Indiana,15,0,0,0,0,0,0,0
